Age,Experience,Skill,RushFactor,WorkStart,WorkDuration,WorkEnd,HomeLat,HomeLng,WorkLat,WorkLng,PreviousAccidents,Accidents
41,19,1.279,1.215,11,9,20,59.8621,30.3667,60.0228,30.3170,2,1
51,26,1.440,1.255,10,12,22,60.1411,30.2163,59.9371,30.2325,2,1
59,35,1.023,0.679,8,10,18,59.8671,30.4364,59.9939,30.4301,2,0
56,27,1.417,0.423,7,9,16,59.9512,30.2458,60.0293,30.4177,1,0
72,46,1.031,0.743,10,11,21,59.7365,30.6215,60.0018,30.3262,4,0
37,17,0.927,1.151,8,11,19,59.9385,30.2888,60.0738,30.3698,3,0
42,16,0.976,1.022,12,10,22,59.8602,30.4757,60.0475,30.3226,4,0
18,1,0.567,2.315,10,7,17,59.8617,30.3523,59.9889,30.3326,4,1
28,6,0.904,1.440,7,8,15,59.8928,30.3223,60.0160,30.3134,1,2
73,49,1.420,0.828,8,7,15,59.8628,30.1916,59.9328,30.3570,1,0
27,5,0.858,1.654,9,8,17,59.9950,30.3139,60.1109,30.4889,4,1
42,18,0.706,0.842,8,8,16,59.9247,30.3121,59.9884,30.2557,0,0
28,5,0.791,1.344,10,6,16,59.8649,30.4187,60.0091,30.3267,1,0
50,26,1.450,0.729,9,6,15,59.9348,30.3635,60.0415,30.3154,2,0
65,29,0.972,0.716,8,8,16,59.8309,30.2162,60.0432,30.3184,2,1
51,24,1.565,1.331,9,7,16,59.8315,30.3949,59.9827,30.2806,5,1
38,13,0.794,1.066,7,8,15,59.8635,30.4096,60.0370,30.4306,3,0
19,1,0.506,2.177,9,9,18,59.9307,30.4639,59.9333,30.3478,0,0
30,7,0.991,1.199,9,9,18,59.9152,30.3020,60.0097,30.3604,0,0
36,13,1.410,0.614,9,9,18,59.7472,30.5683,59.9578,30.3035,3,0
27,5,0.816,1.307,9,9,18,60.0113,30.2692,59.7620,30.4711,5,1
71,29,1.155,0.811,9,11,20,59.8495,30.2693,59.9276,30.2483,1,0
37,13,0.755,0.983,10,10,20,60.0878,29.9596,59.9878,30.2089,1,0
19,1,0.335,2.302,10,7,17,59.9363,30.3772,59.8407,30.2504,1,0
26,5,1.069,1.669,11,8,19,59.7450,30.5707,59.9034,30.3324,3,0
34,9,0.966,1.120,10,10,20,59.8667,30.4473,59.9477,30.3546,1,1
23,2,0.364,2.096,13,9,22,59.8668,30.2797,60.0006,30.2579,2,0
23,3,0.632,1.755,9,8,17,59.8354,30.3419,60.0019,30.2982,2,0
44,14,1.169,1.314,11,7,18,59.8907,30.4709,60.0031,30.3443,2,0
43,19,1.420,0.994,10,8,18,59.9173,30.4681,60.0195,30.2387,2,1
38,13,0.623,0.826,8,6,14,59.8752,30.4066,60.0127,30.3262,2,0
26,4,0.668,0.810,8,9,17,59.9231,30.3138,60.0834,30.3249,3,0
19,1,0.805,2.667,7,7,14,59.8635,30.3016,60.0027,30.2989,1,0
35,12,1.016,1.021,10,7,17,59.9404,30.4848,59.8738,30.3454,0,0
37,13,1.077,1.149,11,7,18,59.8565,30.3472,59.9663,30.3131,1,1
52,32,1.069,0.687,9,11,20,59.8368,30.3890,59.9673,30.3382,0,0
46,20,1.401,1.144,13,6,19,59.9573,30.3257,60.0086,30.3384,1,0
51,24,0.957,1.193,10,7,17,60.0434,30.3808,59.9385,30.2617,1,0
33,9,1.190,1.067,10,8,18,59.7182,30.4042,59.7885,30.1447,3,1
38,13,1.027,0.871,11,7,18,60.1076,30.4883,60.0139,30.3311,2,0
25,4,0.981,1.741,8,8,16,59.9567,30.3615,60.1069,30.4856,6,0
41,21,1.456,0.787,17,6,23,59.8265,30.1686,59.9338,30.3485,2,0
56,35,1.632,0.900,9,7,16,59.9028,30.4834,59.9379,30.2455,3,0
27,5,0.717,1.251,13,10,23,59.9126,30.2942,60.0960,29.9747,8,0
40,14,1.371,0.943,8,10,18,59.8373,30.2435,59.9360,30.2823,1,0
80,43,0.938,0.778,9,5,14,59.7223,30.5677,59.8335,30.1545,3,0
43,19,0.774,1.230,9,11,20,59.8554,30.1963,59.9615,30.2950,4,0
76,41,1.196,0.646,10,5,15,60.0569,30.4691,59.8987,30.4169,1,0
30,6,0.980,1.075,11,11,22,59.8412,30.3646,59.9338,30.2492,2,0
42,19,1.041,1.110,9,5,14,59.8297,30.4155,59.9321,30.2476,3,0
36,13,0.941,1.241,7,9,16,60.0245,30.2855,59.9137,30.2917,1,0
43,16,1.075,0.794,11,11,22,59.9332,30.3824,60.0566,30.3655,2,0
40,14,1.183,1.020,10,6,16,59.8385,30.2444,59.9995,30.3276,1,1
54,26,1.103,1.012,11,7,18,59.9226,30.2973,60.0501,30.3533,3,0
61,36,1.286,0.918,9,7,16,60.0208,30.3837,59.8617,30.3334,0,0
43,18,1.337,0.855,9,10,19,59.9021,30.3207,60.0539,30.3816,0,2
56,26,1.078,0.694,12,9,21,59.9090,30.3203,60.0484,30.3299,3,1
32,8,1.077,1.174,10,11,21,59.9137,30.4782,59.9326,30.3548,1,0
43,21,1.295,0.778,7,11,18,59.9090,30.3240,60.0211,30.6483,3,0
79,38,1.075,0.663,9,8,17,60.0087,30.3501,59.8925,30.2547,1,0
34,12,1.245,1.111,11,9,20,59.8723,30.3686,60.0208,30.3888,1,0
64,37,1.088,1.057,13,9,22,60.0385,30.3751,59.9309,30.3093,0,1
41,19,1.736,0.937,8,9,17,59.9365,30.2365,60.0468,30.3212,4,1
48,22,1.308,0.469,8,11,19,59.8463,30.2607,59.9881,30.2359,2,2
21,2,0.355,1.766,11,7,18,59.8486,30.4112,59.9467,30.3608,1,2
46,18,0.813,0.934,8,9,17,59.9279,30.3066,59.9654,30.3485,0,0
73,42,1.255,0.732,12,7,19,59.8657,30.3883,60.0206,30.3281,5,0
25,3,0.803,1.411,10,8,18,59.9540,30.4286,60.0293,30.4183,0,0
78,36,0.934,0.869,10,9,19,60.0329,30.3382,59.9206,30.3064,2,0
53,26,0.890,0.813,12,6,18,59.8633,30.4001,59.8367,30.1339,0,0
51,24,1.585,0.878,9,11,20,59.8735,30.4486,59.9375,30.2855,2,0
34,12,1.629,0.842,10,8,18,59.8292,30.4153,59.9435,30.2836,2,0
30,7,0.638,1.019,13,11,0,59.7456,30.0861,59.9367,30.2860,0,0
47,19,1.086,0.841,9,8,17,59.8541,30.3970,59.9857,30.2991,4,1
21,2,0.358,2.924,10,12,22,59.8396,30.1297,59.8840,30.3668,2,2
53,33,1.199,0.950,8,8,16,59.8797,30.4600,60.0411,30.3172,3,1
64,41,0.905,0.892,10,11,21,59.9145,30.2958,60.1521,29.9996,3,0
73,38,0.698,0.694,15,8,23,59.9897,30.3041,59.8672,30.2589,2,0
44,16,1.267,0.925,14,11,1,59.8467,30.4099,60.0220,30.3868,4,1
55,27,0.901,0.652,10,5,15,59.9356,30.3330,60.0363,30.4059,2,0
43,18,0.838,0.910,8,9,17,59.5697,30.1222,59.8544,30.3328,3,0
69,40,1.670,0.892,10,10,20,60.0006,30.6735,59.9378,30.4463,6,1
46,17,1.301,0.653,7,9,16,59.9249,30.2897,60.0360,30.3732,1,0
29,6,0.824,1.552,11,9,20,60.0945,29.9753,59.9193,30.4844,4,0
39,15,1.689,0.675,7,6,13,59.6970,30.1254,59.8344,30.3162,3,1
50,27,0.972,0.596,8,12,20,59.8772,30.2713,60.0110,30.3315,4,0
26,4,0.821,0.968,9,11,20,59.8427,30.2556,60.0403,30.3194,3,1
43,18,1.362,0.606,10,8,18,60.0451,30.3567,59.9120,30.3170,0,0
31,9,1.289,1.236,8,9,17,59.8816,30.4630,59.9345,30.3478,3,0
43,16,1.052,1.029,12,8,20,59.9487,30.5717,59.9225,30.2927,2,1
41,18,1.624,1.011,10,7,17,59.9702,30.4306,59.9993,30.2552,5,0
74,35,1.127,0.556,10,7,17,59.8563,30.2790,59.9955,30.3319,1,0
68,30,1.089,0.797,9,8,17,59.8678,30.3906,59.9981,30.3349,5,1
29,7,1.254,1.530,15,11,2,59.8450,30.3961,59.5705,30.1239,6,1
39,16,1.465,0.452,7,6,13,60.0234,30.2543,60.0689,30.3966,2,0
44,22,1.408,1.222,10,7,17,59.9520,30.4947,59.8477,30.3881,8,1
53,23,1.453,1.213,10,11,21,59.9554,30.4299,59.9659,30.3825,4,0
50,19,0.925,0.611,9,8,17,59.9024,29.7739,59.9476,30.3825,2,0
78,41,1.248,0.761,9,8,17,59.8340,30.1431,59.9573,30.3335,1,0
33,10,1.133,1.083,9,10,19,59.8598,30.2449,60.0099,30.2225,2,1
35,12,1.116,0.831,9,8,17,60.0121,30.4077,59.9042,30.3337,5,0
29,7,0.871,1.512,9,5,14,59.9523,30.3026,60.0549,30.3352,0,0
18,1,0.364,2.004,9,5,14,60.0452,30.3852,59.9201,30.4501,2,1
44,22,1.471,1.103,8,8,16,59.8808,30.4427,60.0362,30.4162,1,1
31,8,0.803,0.935,11,7,18,60.0050,30.6082,59.9530,30.2526,0,0
34,11,1.487,0.992,9,8,17,59.8489,30.2310,59.7290,30.0811,2,0
46,21,1.271,0.654,10,8,18,59.8613,30.3090,59.9961,30.3102,2,0
36,13,1.066,0.990,10,7,17,59.6687,30.0661,59.9357,30.4524,9,0
39,18,1.431,1.221,9,9,18,59.6880,30.5626,59.8755,30.4334,5,0
34,12,1.079,1.179,8,9,17,60.0984,29.9711,59.9329,30.3483,1,1
32,9,1.518,1.034,8,7,15,60.0234,30.6446,60.0249,30.3198,5,0
65,33,1.372,0.760,9,8,17,59.8480,30.1839,59.9418,30.3705,5,0
41,17,2.033,1.022,10,10,20,59.8537,30.2991,59.9664,30.4728,4,0
41,17,1.331,1.444,8,10,18,59.8671,30.3991,60.0141,30.3210,2,1
22,2,0.458,1.822,10,10,20,60.0299,30.6276,60.0702,30.3706,1,0
34,13,0.642,0.752,8,5,13,59.9531,30.4826,59.9646,30.3374,1,0
30,7,0.891,1.355,8,6,14,60.0038,30.2913,59.9353,30.3316,0,0
67,41,0.996,0.817,12,7,19,59.8481,30.2023,60.0165,30.3091,0,1
64,35,1.128,0.589,10,9,19,59.9888,30.6494,59.9338,30.3512,2,0
31,9,1.179,1.445,13,11,0,60.0050,30.6040,59.9643,30.3144,4,1
53,23,1.716,0.893,10,9,19,60.0991,30.2114,60.0602,30.3605,3,0
22,2,0.857,1.857,16,7,23,59.8709,30.3690,60.0408,30.3228,2,1
69,34,1.059,0.848,11,7,18,59.8509,30.3177,59.9650,30.3394,2,0
30,7,1.013,1.537,8,6,14,59.8668,30.4587,59.9347,30.2495,4,2
33,10,1.235,1.319,7,5,12,59.8612,30.3171,60.0217,30.2863,6,2
24,3,0.906,1.984,11,7,18,59.9920,30.6463,59.9319,30.2247,7,4
27,5,1.045,1.524,7,7,14,60.0000,30.2159,59.8706,30.3812,4,1
51,25,1.386,0.967,15,8,23,59.8321,30.4226,59.9983,30.3306,4,0
74,44,1.219,0.771,11,10,21,59.9080,29.7692,59.8774,29.9152,2,0
60,39,1.198,0.885,9,11,20,60.0239,30.4179,59.9032,30.3163,3,0
66,40,1.358,0.511,9,11,20,59.8744,29.8974,60.0084,30.2718,4,0
22,2,0.733,2.528,7,9,16,60.0470,30.3820,59.8935,30.4153,7,1
55,29,1.343,0.725,8,8,16,59.7470,30.5822,59.9336,30.3443,0,0
40,14,1.202,1.090,11,7,18,59.9055,30.4622,60.0708,30.3932,6,1
66,43,1.074,0.548,7,12,19,59.9608,30.3160,59.8351,30.3439,0,0
32,9,1.110,1.370,7,7,14,59.7193,30.4231,59.8341,30.2167,0,1
54,33,1.399,0.738,14,8,22,59.9085,30.4774,60.0034,30.3326,2,1
31,9,1.465,1.034,8,10,18,59.9392,30.4869,60.0363,30.3731,1,0
49,20,1.964,0.837,7,10,17,59.8458,30.2183,60.0198,30.2707,3,0
25,4,0.911,1.365,10,7,17,59.9379,30.3711,60.0654,30.3434,2,1
30,6,1.114,1.244,10,11,21,59.8311,30.1668,59.9295,30.2346,4,1
49,22,1.305,0.873,7,8,15,59.9857,30.2577,60.0142,30.3915,3,0
34,11,1.304,1.056,11,8,19,59.8326,30.1516,59.9331,30.3460,1,0
61,22,1.331,0.402,8,5,13,60.0112,30.2520,59.8921,30.4152,1,0
36,13,0.843,0.935,10,7,17,59.7357,30.3994,59.8514,30.3534,0,0
43,18,1.509,0.991,10,10,20,59.8657,30.4093,59.9622,30.3179,4,2
29,7,1.392,1.186,9,7,16,59.8751,30.3933,60.0482,30.4466,5,1
34,8,1.150,1.111,8,9,17,59.8696,30.3861,59.9274,30.2513,1,0
29,7,0.806,1.152,9,9,18,59.8720,30.4527,59.9432,30.3602,2,0
59,34,1.460,0.886,9,9,18,59.8519,30.0211,59.9413,30.2653,6,0
39,18,1.587,0.877,8,8,16,59.8120,30.3744,59.8894,30.2607,3,0
47,20,1.243,0.942,9,11,20,59.8545,30.2263,59.9551,30.4168,0,1
48,18,1.528,0.764,11,6,17,60.0414,30.3431,59.9394,30.4122,2,0
31,9,1.277,0.986,9,12,21,59.7395,30.6150,60.0490,30.3363,7,0
81,46,1.212,0.732,9,12,21,59.8625,30.3407,59.9300,30.3001,1,2
64,37,1.443,0.830,10,7,17,59.9230,30.2993,60.0727,30.2376,4,1
47,25,1.326,1.054,12,6,18,59.8419,30.1628,59.9324,30.3561,5,0
40,18,1.595,0.591,10,9,19,60.0337,30.3796,59.8937,30.2569,3,1
29,7,0.547,1.112,10,8,18,59.8295,30.2017,59.9312,30.3536,2,0
49,29,1.114,1.094,10,6,16,59.9582,30.4910,59.8252,30.3981,4,0
51,23,1.165,0.832,9,8,17,59.8467,30.2093,59.9612,30.2911,4,0
47,24,1.489,0.882,7,9,16,60.0019,30.2030,59.9161,30.3522,4,0
31,7,0.868,1.012,8,9,17,60.1100,30.4945,60.0017,30.3007,0,1
61,37,1.657,0.971,10,11,21,60.0361,30.4259,59.9314,30.3602,2,0
51,21,1.431,1.103,9,4,13,59.8373,30.2491,59.9753,30.3400,7,0
48,22,1.227,1.245,11,5,16,59.9409,30.2399,60.0540,30.3378,3,1
52,23,1.160,0.895,10,9,19,60.0086,30.4282,59.8682,30.2590,3,3
39,14,1.016,0.946,7,12,19,60.0980,30.2106,59.9124,30.5753,6,1
70,33,1.414,0.754,10,9,19,60.0155,30.2399,59.9492,30.4968,3,0
34,12,1.111,0.637,10,6,16,59.8518,30.3754,59.9883,30.2974,2,1
46,22,1.308,0.949,8,12,20,59.9838,30.3920,60.0062,30.3299,0,0
42,15,1.368,1.024,8,10,18,59.6676,30.2550,59.7221,30.2620,2,0
48,18,1.710,1.087,8,10,18,59.9154,30.3082,59.9984,30.3762,3,0
58,37,1.273,0.967,10,10,20,60.0176,30.3930,59.8641,30.3357,1,0
70,41,1.134,0.765,8,5,13,60.0063,30.2809,59.9246,30.3994,0,1
32,10,0.775,1.094,11,5,16,60.0380,30.3552,59.9430,30.2728,2,0
45,24,1.078,1.241,8,8,16,59.8476,30.3088,59.9318,30.3540,1,0
38,12,1.022,0.988,8,6,14,59.8533,30.4715,59.9356,30.3092,1,0
28,6,0.819,1.547,10,6,16,60.1091,30.2796,59.9863,30.3431,3,0
24,3,0.910,1.443,11,9,20,59.9894,30.2972,59.8406,30.2526,3,0
42,20,1.073,1.063,8,7,15,59.9445,30.3428,59.8409,30.2559,2,1
52,31,0.952,0.643,7,5,12,59.8301,30.1586,59.8989,30.4197,5,0
56,30,1.011,0.953,8,10,18,59.9162,30.3021,59.9606,30.2916,0,0
42,20,1.638,0.973,12,7,19,59.8823,30.4745,59.9369,30.2415,2,0
38,14,1.362,0.903,8,5,13,59.9381,30.3761,60.0521,30.3273,0,0
37,13,1.664,0.984,9,6,15,60.0518,30.3599,59.8795,29.8613,11,0
20,1,0.634,2.690,9,8,17,59.8504,30.2112,60.0026,30.2993,1,1
27,6,0.854,1.811,10,9,19,60.1439,30.2227,60.0239,30.3209,1,0
37,15,1.437,1.130,10,9,19,60.0101,30.2682,59.8521,30.1412,6,2
38,17,0.930,0.701,11,5,16,60.0715,30.3282,59.9392,30.2815,0,0
20,1,0.638,1.940,13,7,20,59.8644,30.3172,59.9893,30.3019,2,0
22,2,0.823,2.113,8,6,14,59.8542,30.2194,59.9239,30.2808,3,0
74,37,1.342,0.865,8,6,14,59.8759,30.2689,60.0189,30.4053,2,0
29,6,0.783,1.276,10,9,19,59.9876,30.6495,59.9404,30.3631,2,0
40,17,1.669,1.103,13,8,21,60.0113,30.2854,59.8533,30.3615,4,0
47,24,1.298,0.979,10,5,15,59.9952,30.6491,59.9960,30.3394,2,1
20,1,0.696,2.842,11,9,20,59.8303,30.1538,59.9873,30.2581,5,1
23,3,0.722,2.124,10,8,18,59.9379,30.3510,60.0704,30.3818,2,1
25,3,0.626,1.627,17,6,23,59.8594,30.3694,59.9322,30.2921,1,0
19,1,0.783,3.359,10,4,14,60.0329,30.4096,59.8984,30.4171,1,1
39,16,1.329,1.016,10,12,22,59.9397,30.4947,59.9991,30.2879,2,0
46,20,1.257,0.825,9,8,17,59.7478,30.5769,59.9448,30.4101,3,1
40,14,1.151,0.736,10,11,21,60.0992,30.2097,59.9755,30.3407,2,0
51,20,1.284,0.968,9,11,20,59.9498,30.4684,60.0348,30.4228,1,0
44,18,1.205,0.873,7,10,17,59.9382,30.4905,59.9935,30.3110,3,1
30,8,1.150,1.085,10,5,15,60.0848,29.9579,59.9900,30.2052,3,0
20,1,0.501,2.481,9,4,13,59.8668,30.4479,59.9992,30.3706,2,0
28,6,0.683,0.918,10,7,17,59.8515,30.3789,59.9552,30.4218,2,0
28,6,0.855,1.310,9,10,19,59.9659,30.2990,60.0404,30.4128,2,0
35,12,1.332,0.802,18,6,0,59.9023,30.4834,60.0230,30.3285,1,0
36,13,1.239,1.061,9,7,16,59.8547,30.0307,59.8992,30.4304,2,1
18,1,0.516,3.171,12,7,19,60.0339,30.3005,59.8746,30.4401,1,0
31,7,0.927,1.334,8,7,15,59.9894,30.2929,59.8845,30.3304,2,0
32,9,1.236,1.213,9,6,15,60.0424,30.3462,59.9355,30.4542,0,0
38,15,1.312,0.990,7,5,12,59.8269,30.1740,59.9437,30.3038,1,0
56,28,1.422,0.544,10,8,18,59.8530,30.3552,59.9862,30.2847,1,0
30,8,1.381,1.085,8,9,17,59.8319,30.1599,59.9420,30.3152,4,0
37,13,1.830,1.200,7,10,17,59.8795,30.4553,59.9853,30.2689,6,2
56,36,1.117,0.830,10,5,15,59.9763,30.2942,59.9902,29.7710,2,3
58,38,1.308,0.925,11,9,20,60.0274,30.4237,60.0570,30.3364,1,0
19,1,0.638,1.947,10,8,18,59.9133,30.4562,60.0117,30.3261,3,0
62,30,1.618,0.815,11,7,18,59.9072,30.2754,59.9423,30.3560,1,1
31,9,1.247,1.226,8,6,14,59.8460,30.2063,59.8514,30.3681,0,0
66,36,1.522,0.540,9,7,16,59.8286,30.4009,59.9599,30.3035,3,0
29,7,0.892,0.818,9,11,20,59.8458,30.2308,59.9499,30.3013,2,0
46,22,0.907,0.939,10,8,18,60.0424,30.3640,59.8850,30.2774,3,0
72,37,1.223,0.768,10,8,18,59.9163,30.2978,59.8496,30.1434,3,0
30,8,0.659,1.443,9,8,17,59.8608,30.1965,59.9736,30.3329,0,0
22,2,0.611,2.866,9,10,19,59.8660,30.4183,59.8491,30.0333,5,0
23,3,0.511,2.214,9,6,15,60.0278,30.4574,59.9385,30.2441,2,0
48,21,1.446,1.072,16,9,1,60.0147,30.4294,60.0683,30.3337,3,0
22,2,0.562,2.828,9,6,15,59.8289,30.3932,59.9307,30.3003,3,0
55,29,0.907,1.097,17,11,4,59.8792,30.4777,60.0029,30.3229,0,0
50,22,1.683,0.713,9,7,16,60.0526,30.3161,59.9298,30.3009,4,0
35,13,0.995,1.103,9,7,16,59.9267,30.4175,59.7585,30.5459,2,0
20,2,0.612,3.790,9,4,13,60.0027,30.2204,59.8398,30.2312,8,2
26,4,0.986,1.889,12,9,21,59.9458,30.2176,59.9326,30.3482,2,2
44,18,1.243,1.054,10,6,16,59.8502,30.1816,59.9308,30.3007,5,0
46,17,1.319,1.028,10,9,19,60.1262,30.1465,59.9891,30.2590,1,2
30,9,1.312,1.408,10,7,17,59.8533,30.3316,59.9857,30.3899,6,1
40,18,0.932,0.795,7,9,16,59.8732,30.4369,59.9971,29.7745,4,3
39,15,1.645,0.898,10,8,18,59.8297,30.1685,59.9348,30.3754,4,0
45,21,1.126,0.942,10,11,21,60.0558,30.3492,59.8762,30.4413,1,0
73,38,1.212,0.733,11,10,21,60.0370,30.3653,59.8769,30.4405,2,0
39,17,1.249,1.099,9,9,18,59.9453,30.4962,59.9955,30.1991,2,1
45,21,0.841,0.995,9,6,15,59.9130,30.2946,59.9687,30.3070,3,0
45,29,1.523,0.859,8,8,16,60.0319,30.3494,59.8882,30.4184,5,0
51,24,1.392,0.826,9,10,19,59.8551,30.2501,59.9741,30.3269,3,0
59,31,1.141,1.138,7,6,13,60.0445,30.3921,59.9123,30.3194,3,0
30,7,1.321,1.081,8,7,15,59.8448,30.3244,59.9320,30.3546,2,2
52,31,1.360,0.822,10,6,16,60.0296,30.4576,59.9324,30.3562,1,0
32,8,1.128,1.154,7,7,14,59.8616,30.3027,59.9948,30.4265,3,0
73,45,0.826,0.597,9,9,18,59.9515,30.4675,60.0430,30.3246,1,0
46,23,1.228,0.767,16,11,3,59.9326,30.3562,60.0585,30.3737,1,0
41,15,0.880,0.636,8,9,17,59.9348,30.2410,60.1090,30.4854,2,1
59,32,1.198,0.693,9,5,14,59.8618,30.3971,59.9791,30.3531,1,1
39,16,1.696,0.815,9,6,15,59.9032,30.4854,60.0228,30.3174,1,1
42,17,1.104,0.679,10,9,19,60.0021,30.3532,59.8634,30.4250,0,0
54,28,1.482,0.584,10,6,16,59.8316,30.2270,59.9474,30.3684,3,0
40,16,1.482,1.010,10,12,22,59.9352,30.2391,60.0525,30.3359,1,0
46,24,0.970,0.905,9,10,19,59.8336,30.1551,60.0011,30.3289,3,0
21,2,0.684,1.986,9,10,19,59.9509,30.3037,60.0698,30.3508,1,0
40,19,1.217,0.695,9,7,16,59.8467,30.2014,59.9245,30.3830,1,0
30,8,1.707,1.323,10,9,19,59.8649,30.2695,60.0150,30.3228,7,0
40,16,1.133,0.806,12,8,20,60.0028,30.2393,59.8981,30.4179,2,1
78,39,1.048,0.605,8,8,16,59.9501,30.4765,59.9343,30.2492,0,0
53,27,1.207,0.845,10,6,16,59.9477,30.4786,59.9227,30.3612,1,0
67,26,1.823,0.680,9,5,14,60.0088,30.3956,59.9454,30.3601,0,0
67,35,1.134,0.827,18,6,0,59.9981,30.2017,60.0364,30.4300,2,0
32,10,0.727,0.944,11,9,20,59.8463,30.3644,59.9706,30.3683,0,0
56,29,1.472,0.835,11,10,21,59.8387,30.2320,59.9530,30.4231,2,0
21,2,0.500,2.665,9,11,20,59.8831,29.8945,59.9800,30.3338,5,1
28,7,1.071,1.604,8,5,13,60.0182,30.2391,59.9372,30.3282,1,0
29,7,1.091,1.054,10,7,17,60.0378,30.3390,59.9396,30.2422,3,1
45,22,0.824,0.904,11,7,18,59.8401,30.2675,59.9597,30.3065,1,1
76,37,1.025,0.775,10,8,18,59.8340,30.4058,59.9342,30.3074,1,0
53,25,1.075,1.222,8,9,17,59.8079,30.5739,59.8278,30.3258,3,0
34,11,1.703,1.231,9,7,16,59.9780,30.4031,59.8358,30.3537,5,0
36,12,1.158,0.895,12,8,20,59.9399,30.3426,60.0555,30.3649,1,0
60,33,1.888,0.909,9,11,20,59.8561,30.3279,60.0008,30.3399,5,0
52,26,0.809,0.606,12,10,22,59.8599,30.1911,60.0015,30.3630,1,0
25,3,0.914,1.355,10,6,16,60.0484,30.3866,59.9280,30.2452,2,0
39,18,0.858,1.031,13,11,0,59.9583,30.4881,60.0085,30.3976,0,0
71,39,1.325,0.836,7,6,13,59.8788,30.3887,60.0053,30.4419,2,1
73,40,1.297,0.919,9,6,15,59.7213,30.4293,59.9342,30.3456,2,2
37,13,1.133,0.934,10,6,16,59.7881,30.1426,59.9276,30.3229,4,0
49,24,1.420,0.574,7,9,16,59.8299,30.1947,59.9938,30.3093,2,0
50,23,1.241,1.056,10,6,16,59.8382,30.3821,59.9397,30.2806,4,0
33,10,1.398,0.903,11,7,18,59.9528,30.4958,59.8657,30.3255,2,0
44,23,1.455,1.016,10,6,16,59.8528,30.0321,60.0334,30.2594,11,1
23,3,0.835,1.893,7,11,18,59.8655,30.4586,60.0086,30.3563,3,1
24,3,0.755,1.898,8,5,13,59.9351,30.6510,59.9356,30.3650,0,0
50,25,1.360,0.775,15,6,21,59.8928,30.4737,59.9385,30.2267,2,0
35,12,1.350,0.954,10,8,18,59.8293,30.1548,59.9322,30.2375,2,0
