Age,Experience,Skill,RushFactor,WorkStart,WorkDuration,WorkEnd,HomeLat,HomeLng,WorkLat,WorkLng,Distance,ToWork,ToHome
34,10,1.332,0.787,9,12,21,59.9320,30.2520,59.8780,29.8661,22.342,51.648,52.502
50,28,1.263,0.900,15,7,22,59.8271,30.1740,59.9368,30.2863,13.710,15.915,16.026
31,7,1.430,1.134,12,9,21,59.9240,30.3841,60.0111,30.3213,10.297,12.086,11.919
30,8,1.286,1.753,10,6,16,59.8150,30.2923,60.0366,30.4116,25.523,42.697,43.264
30,7,1.360,1.272,11,10,21,59.8402,30.4906,59.9361,30.2441,17.397,21.593,21.243
72,41,1.119,0.980,9,7,16,59.9168,30.4815,60.0218,30.3294,14.414,17.403,17.432
43,18,1.416,0.911,9,8,17,59.8891,30.3601,60.0226,30.3263,14.967,17.320,16.876
36,13,1.117,0.872,16,8,0,59.8296,30.1980,59.9333,30.3449,14.144,15.585,15.403
42,15,1.399,1.047,9,8,17,59.8305,30.5169,59.9896,30.2058,24.778,28.923,28.689
52,28,1.031,1.082,9,8,17,59.8572,30.1903,60.0083,30.3594,19.262,23.506,24.103
35,14,1.082,0.944,10,10,20,59.8980,30.3610,59.9369,30.2874,5.958,8.231,8.962
33,10,0.922,1.208,9,8,17,59.8769,30.2714,59.8536,30.1898,5.237,6.661,6.083
32,8,1.156,0.780,9,7,16,60.1015,29.9734,60.0036,29.7631,15.958,25.555,26.481
25,4,0.871,1.180,8,7,15,59.8353,30.5156,59.9308,30.3013,15.992,19.164,18.718
51,25,1.321,1.025,9,8,17,59.9492,30.2733,59.9131,30.5060,13.573,16.185,16.093
25,3,0.721,0.928,9,8,17,60.0128,30.2696,59.9278,30.2510,9.511,13.976,12.752
51,30,1.612,1.000,7,12,19,59.9040,30.4812,60.0130,30.3196,15.094,18.812,18.297
40,17,1.274,0.848,8,9,17,59.9391,30.4922,60.0023,30.3244,11.689,13.872,14.018
36,11,1.070,1.010,9,9,18,60.0039,30.3641,59.8790,30.2595,15.068,17.485,17.786
47,19,1.080,0.735,9,8,17,59.8605,30.1890,60.0260,30.2732,18.987,25.401,25.404
40,15,0.994,0.969,8,9,17,59.8883,30.2726,60.0135,30.3309,14.295,17.073,18.088
42,18,0.931,1.167,9,8,17,59.8496,30.3592,59.9395,30.4443,11.066,17.917,15.008
54,27,1.109,1.314,8,10,18,59.8846,30.2692,60.0369,30.3770,17.969,20.909,21.229
27,6,0.985,1.665,9,7,16,59.8300,30.1595,60.0172,30.3143,22.524,27.620,27.822
30,8,1.222,1.359,10,6,16,59.8337,30.1566,59.8566,30.3832,12.909,13.972,14.241
18,1,0.421,2.460,11,8,19,59.9300,30.3523,60.0098,30.3859,9.073,10.958,11.321
64,34,1.126,0.913,10,8,18,59.8487,30.1529,59.9506,30.3629,16.291,19.563,19.465
43,21,0.690,1.031,8,7,15,59.9672,30.3019,59.9289,30.3164,4.337,6.165,5.593
42,17,1.265,0.822,10,8,18,59.8465,30.2505,59.8818,29.9135,19.221,27.581,20.543
43,22,1.011,0.977,10,7,17,59.8469,30.2745,59.9991,30.2948,16.963,21.800,20.120
36,14,1.394,1.211,9,7,16,59.8489,30.4111,59.9910,30.3154,16.673,19.111,19.406
37,12,0.813,1.020,8,10,18,60.0009,30.2429,59.8669,30.2579,14.926,21.274,20.511
45,18,1.234,0.909,11,8,19,59.8611,30.3789,59.7407,30.0919,20.905,25.318,26.492
65,34,1.385,0.777,12,11,23,59.9017,30.4944,59.9273,30.2435,14.276,18.209,18.073
29,7,1.065,1.523,9,9,18,60.0312,30.4227,59.9509,30.3044,11.083,13.333,13.552
62,43,1.409,0.811,13,6,19,59.9918,30.3058,59.8520,30.3410,15.675,18.126,18.145
34,11,1.142,0.902,10,11,21,59.8328,30.3182,59.9504,30.2994,13.119,14.217,14.369
42,19,1.184,0.974,11,6,17,59.8357,30.5049,59.8529,30.0306,26.566,37.666,36.497
40,18,0.857,1.383,9,10,19,59.7377,30.4591,59.8626,30.3260,15.755,21.728,22.740
33,9,1.720,0.859,9,9,18,59.8683,30.2736,59.9485,30.3048,9.089,10.760,11.412
42,18,1.186,0.986,10,7,17,60.0396,30.4032,59.9347,30.2945,13.137,15.515,16.492
54,31,1.090,0.988,10,7,17,59.8342,30.4310,59.9592,30.2956,15.825,18.435,18.765
45,18,0.824,1.141,10,9,19,59.9766,30.4077,59.9431,30.2830,7.880,11.630,10.219
40,20,1.322,0.833,9,12,21,60.0073,30.6164,60.0391,30.3171,16.998,25.324,25.769
23,3,0.920,2.510,10,10,20,59.8517,30.2121,59.9947,30.4351,20.183,25.238,23.709
29,6,0.906,1.109,10,7,17,59.8553,30.3090,59.9251,30.4770,12.164,17.368,17.184
31,8,0.702,1.200,8,11,19,59.8303,30.3933,59.9310,30.2557,13.580,19.182,19.046
30,7,0.750,1.394,8,6,14,59.9440,30.2176,59.8583,30.3924,13.630,18.723,18.325
33,10,1.474,1.252,11,10,21,59.8971,30.4919,59.9990,30.2849,16.163,20.355,27.733
56,23,1.322,0.759,10,7,17,59.9837,30.2119,59.8888,30.4228,15.791,19.710,20.377
49,24,1.407,0.944,9,11,20,59.9934,29.7794,60.0138,30.3246,30.395,44.214,45.157
21,2,0.793,3.175,10,9,19,59.8292,30.2253,60.0062,30.3860,21.623,27.804,27.281
53,29,1.123,0.741,10,10,20,59.8780,30.2716,60.0178,30.3756,16.587,19.467,19.815
22,2,0.546,2.351,9,7,16,59.8507,30.1801,60.0599,30.3619,25.378,52.853,53.232
37,16,1.171,1.663,8,7,15,59.9927,30.6491,59.9358,30.4387,13.315,23.003,22.466
32,10,1.185,1.290,10,9,19,59.8582,30.1697,60.0661,30.3669,25.583,54.425,54.467
29,6,1.437,1.626,9,11,20,59.9408,30.4960,59.9398,30.2732,12.410,14.835,14.941
61,32,1.305,0.825,12,11,23,59.8549,30.2264,59.9644,30.3395,13.713,15.705,17.452
53,31,1.295,1.158,9,10,19,60.0501,30.3361,59.9424,30.2617,12.674,16.468,15.031
37,15,1.239,0.943,11,9,20,59.8326,30.1447,59.9262,30.3197,14.275,16.286,16.763
50,26,1.502,0.927,10,7,17,60.0864,29.9534,60.0727,30.2376,15.839,27.353,29.527
47,25,1.326,1.054,12,6,18,59.8474,30.2752,59.9669,30.3135,13.458,16.785,15.548
54,32,1.178,1.180,8,12,20,60.0607,30.3171,59.9235,30.3727,15.558,16.998,17.091
31,9,1.269,1.649,9,7,16,59.8550,30.3449,60.0035,29.7629,36.381,64.537,64.258
31,9,0.534,0.886,11,8,19,59.9898,29.7881,59.8768,29.9250,14.697,37.381,36.371
63,33,1.228,0.890,10,11,21,59.7397,30.6155,59.9399,30.2813,29.055,40.135,40.829
32,9,1.366,1.626,11,10,21,59.8714,30.2608,60.0196,30.3212,16.811,19.303,19.524
49,30,1.005,0.758,9,7,16,59.8325,30.4233,59.9483,30.3778,13.123,15.266,15.192
76,30,1.161,0.921,7,8,15,59.9302,30.4550,59.8494,30.3877,9.736,13.355,13.793
24,3,0.679,1.772,10,12,22,59.9153,30.4965,59.9324,30.2997,11.126,13.468,13.587
30,8,1.150,1.398,10,10,20,59.8361,30.2535,59.9325,30.3107,11.191,15.531,14.937
68,33,0.850,0.780,11,6,17,60.0097,30.2784,59.9318,30.3540,9.628,11.333,11.489
38,12,1.022,0.988,8,6,14,59.8379,30.5158,59.8524,30.3013,12.090,18.049,17.740
50,29,1.483,1.352,9,12,21,59.8108,30.3691,59.9423,30.2808,15.427,23.848,24.604
18,0,0.454,2.256,8,7,15,59.8547,30.2279,59.9414,30.3701,12.479,13.912,14.887
48,19,1.471,0.671,11,12,23,60.1093,30.4927,59.9882,30.2517,18.976,35.656,34.796
26,4,1.098,1.678,9,8,17,60.0536,30.3521,60.0402,30.3710,1.822,3.334,2.808
24,3,0.753,2.498,10,7,17,59.8344,30.5013,59.9304,30.3561,13.400,15.665,14.636
26,4,0.881,1.556,11,5,16,59.9264,30.3869,60.0326,30.2603,13.749,16.319,16.268
68,40,1.133,0.761,16,11,3,59.8294,30.4177,59.8733,29.9007,29.284,43.870,41.198
54,30,1.308,0.880,9,8,17,59.8518,30.3706,60.0295,29.9738,29.647,44.204,45.736
67,39,1.285,1.091,10,8,18,59.8831,30.4863,60.0256,30.3162,18.467,33.270,32.110
51,30,0.934,0.597,11,5,16,60.0473,30.3660,59.9226,30.2991,14.358,17.106,17.055
52,28,1.404,0.903,10,6,16,59.8590,30.1908,59.9382,30.4180,15.429,19.210,19.002
23,2,0.675,1.352,12,9,21,60.0349,30.3000,60.0908,29.9758,19.033,32.128,31.953
30,8,0.930,1.226,8,8,16,59.8469,30.1249,59.8791,29.8276,16.980,20.092,20.083
55,28,1.170,1.366,10,7,17,59.8310,30.5202,59.9047,30.3301,13.408,18.635,17.454
69,40,1.354,0.554,9,5,14,59.8439,30.2555,59.9685,30.3114,14.208,19.133,18.404
24,3,1.015,2.208,10,10,20,60.0440,30.3341,59.8721,30.3409,19.123,21.210,21.206
28,6,0.803,1.464,17,6,23,59.8578,30.3867,59.9322,30.2921,9.812,12.015,12.575
19,1,0.783,3.359,10,4,14,59.9137,30.5000,60.0393,30.3702,15.728,26.976,25.735
29,7,1.144,0.738,9,10,19,59.9308,30.4682,60.0240,30.3153,13.406,17.703,17.325
32,10,1.757,1.206,10,9,19,59.9150,30.4879,60.0382,30.3563,15.534,27.628,27.149
57,29,0.944,1.070,9,7,16,59.8818,30.4636,60.0123,30.3214,16.522,19.204,19.198
43,20,1.164,0.545,9,7,16,59.9283,30.4661,60.0289,30.3250,13.665,18.091,18.137
37,16,1.188,1.505,11,11,22,59.7205,30.0712,59.9258,30.4136,29.791,34.862,36.016
38,12,0.843,0.920,10,10,20,60.0362,30.4301,59.8980,30.4197,15.375,19.167,17.965
25,4,0.745,1.259,10,7,17,59.8470,30.1808,60.0000,30.4339,22.104,26.592,26.277
44,21,1.379,0.909,10,10,20,59.8520,30.3270,59.9683,30.3846,13.327,15.617,15.641
25,3,0.654,1.494,11,6,17,60.0583,30.3456,59.9499,30.4539,13.473,20.986,20.153
32,9,1.928,1.623,10,11,21,59.8317,30.4324,59.7588,30.5800,11.576,16.296,17.431
29,6,1.217,1.372,10,8,18,59.8733,30.4023,59.9885,30.2934,14.174,18.617,17.762
34,12,1.014,0.899,9,10,19,60.0048,30.2455,59.9141,30.5180,18.215,23.343,26.760
72,28,1.046,0.773,10,8,18,59.9920,30.2988,59.8483,30.3910,16.777,20.579,18.857
35,13,1.700,1.233,15,8,23,60.0252,30.4242,59.9361,30.2891,12.436,15.482,15.824
30,8,1.381,1.085,8,9,17,59.8725,30.3603,59.9849,30.2152,14.884,20.078,19.904
67,48,0.823,0.966,8,5,13,59.8615,30.3408,59.9914,30.3154,14.511,16.933,17.419
64,40,1.479,0.393,11,9,20,59.9293,30.3394,60.0733,30.3508,16.025,17.212,16.951
37,14,0.233,1.031,11,8,19,59.8335,30.3967,59.9657,30.3104,15.473,17.717,18.405
24,3,0.451,1.427,8,9,17,59.8325,30.4259,59.9333,30.3667,11.686,13.583,13.657
57,38,1.091,0.704,8,11,19,59.9314,30.4590,60.0144,30.2755,13.763,19.232,19.098
31,8,0.574,1.182,11,4,15,59.8687,30.3916,60.0011,30.3383,15.017,17.498,17.751
64,28,0.822,0.407,11,9,20,60.0397,30.3412,59.8850,30.2774,17.565,21.357,21.143
72,41,1.206,0.768,10,8,18,60.0237,30.3202,59.9337,30.3082,10.028,12.215,11.639
34,11,1.091,1.014,9,7,16,59.8577,30.3412,60.0079,30.3482,16.704,19.166,19.383
52,29,1.171,0.679,9,9,18,59.8386,30.2095,59.9327,30.3677,13.694,15.651,18.681
89,40,1.090,0.689,9,8,17,59.9547,30.2973,60.0490,30.3552,10.967,13.330,13.076
30,7,1.249,1.141,8,8,16,60.0169,30.3867,59.9588,30.2997,8.076,9.247,9.722
51,25,1.219,0.754,9,6,15,60.0497,30.3196,59.9139,30.4609,17.022,29.826,20.867
71,39,1.188,0.806,11,7,18,59.9003,29.7710,59.8545,30.3153,30.795,43.334,42.917
25,4,0.866,1.448,10,6,16,59.8357,30.5053,59.9331,30.2990,15.809,18.858,18.001
24,3,0.557,1.769,11,9,20,60.0447,30.3491,59.9319,30.2901,12.965,15.922,16.292
66,34,0.882,1.079,10,5,15,59.8656,30.4478,60.0016,30.3446,16.175,20.073,19.603
82,42,1.226,0.760,9,7,16,60.0443,30.4126,60.0214,30.6775,14.930,35.368,22.621
29,7,1.306,1.818,19,9,4,59.7047,30.7918,59.9134,30.5042,28.232,38.354,38.818
28,6,1.072,1.403,12,6,18,59.9627,30.3290,59.8537,30.3592,12.232,13.728,14.475
39,18,1.246,1.058,15,9,0,59.8558,30.2341,59.9840,30.2353,14.258,22.321,21.694
33,11,1.342,1.093,8,5,13,59.9355,30.2350,60.0683,30.3732,16.639,20.677,21.352
54,33,1.352,1.194,9,10,19,59.8523,30.4170,60.0012,30.3653,16.805,19.749,33.127
35,14,1.100,0.819,10,6,16,60.0255,30.4147,59.9274,30.2470,14.356,17.102,16.553
47,25,1.335,0.830,8,8,16,59.9537,30.4862,59.9494,30.3949,5.108,7.541,7.614
30,8,1.204,1.499,8,10,18,60.1430,30.2111,59.8526,30.2687,32.445,64.388,64.233
35,13,1.028,1.484,11,11,22,60.0496,30.3470,59.9310,30.3997,13.506,17.700,16.797
